step,lr,in_warmup,bc1_m_convergence,bc2_v_convergence,inv_bc2_amplification,adam_amp,effective_lr,step_noise_power,step_signal_power,signal_dominance,signal_quality,cumulative_displacement,disruption_vs_xavier_emb,disruption_vs_xavier_enc,ln_V_random_baseline,v_halflife_693
10,6.5999999999999995e-06,1,0.6861894039099999,0.010945164670461582,91.36454590754255,0.15246394135025235,1.0062620129116654e-06,6.527761913174953e-06,7.223808682504644e-08,0.011066287004011074,0.0075104560209208245,3.9599999999999994e-05,0.0016775948497775018,0.0006335999999999999,9.210340371976184,0.0
11,7.2e-06,1,0.7175704635189999,0.0119342195057911,83.79266021667763,0.15224129051350335,1.096137291697224e-06,7.1140736195583035e-06,8.59263804416959e-08,0.012078365369380431,0.008563643422508009,4.679999999999999e-05,0.0019826120951915932,0.0007487999999999999,9.210340371976184,0.0
12,7.8e-06,1,0.7458134171670999,0.012922285286285251,77.38569284345745,0.15241912718137568,1.1888691920147303e-06,7.699206174766975e-06,1.0079382523302495e-07,0.013091456826206578,0.009637613746972539,5.459999999999999e-05,0.002313047444390192,0.0008735999999999999,9.210340371976184,0.0
13,8.4e-06,1,0.7712320754503899,0.013909363000998987,71.89401843407055,0.15292149570034197,1.2845405638828724e-06,8.283161350791608e-06,1.1683864920839148e-07,0.014105562388595196,0.010727346895453311,6.299999999999999e-05,0.002668900897373298,0.0010079999999999998,9.210340371976184,0.0
14,8.999999999999999e-06,1,0.794108867905351,0.014895453637998046,67.1345783957205,0.15369042840954503,1.383213855685905e-06,8.865940917258017e-06,1.340590827419824e-07,0.015120683071666922,0.01182861182540727,7.199999999999999e-05,0.0030501724541409122,0.0011519999999999998,9.210340371976184,0.0
15,9.6e-06,1,0.8146979811148158,0.015880558184360072,62.970078783807956,0.15468074017146757,1.4849351056460887e-06,9.447546641430143e-06,1.5245335856985669e-07,0.016136819891558508,0.012937858691774516,8.159999999999999e-05,0.0034568621146930344,0.0013055999999999999,9.210340371976184,0.0
16,1.0199999999999999e-05,1,0.8332281830033342,0.016864677626175606,59.2955301112844,0.1558565544273147,1.5897368551586096e-06,1.0027980288213008e-05,1.7201971178699116e-07,0.01715397386542382,0.014052124695395284,9.18e-05,0.0038889698790296637,0.0014688,9.210340371976184,0.0
17,1.0799999999999998e-05,1,0.8499053647030008,0.017847812948549535,56.029273888219926,0.15718892081648242,1.6976403448180099e-06,1.0607243620155664e-05,1.9275637984433494e-07,0.018172146011435363,0.015168951973187933,0.0001026,0.004346495747150801,0.0016416,9.210340371976184,0.0
18,1.14e-05,1,0.8649148282327007,0.01882996513560098,53.10684288572284,0.15865414215129423,1.808657220524754e-06,1.1185338397454147e-05,2.1466160254585114e-07,0.019191337348784143,0.016286316060886062,0.000114,0.004829439719056446,0.001824,9.210340371976184,0.0
19,1.1999999999999999e-05,1,0.8784233454094307,0.01981113517046529,50.476663320677034,0.1602325747308485,1.9227908967701817e-06,1.1762266377954415e-05,2.3773362204558343e-07,0.02021154889768173,0.01740256363279855,0.000126,0.005337801794746598,0.002016,9.210340371976184,0.0
20,1.2599999999999998e-05,1,0.8905810108684876,0.020791324035294823,48.0969849877009,0.1619077519348574,2.040037674379203e-06,1.2338029317155284e-05,2.619706828447147e-07,0.02123278167936109,0.018516358376647148,0.0001386,0.005871581974221257,0.0022176,9.210340371976184,0.0
21,1.3199999999999999e-05,1,0.9015229097816388,0.021770532711259616,45.933648627844775,0.16366573320093925,2.1603876782523977e-06,1.2912628968211372e-05,2.873710317886269e-07,0.02225503671607726,0.01962663399735112,0.0001518,0.006430780257480425,0.0024288,9.210340371976184,0.0
22,1.3799999999999998e-05,1,0.9113706188034749,0.022748762178548265,43.95843572284494,0.16549461304121116,2.2838256599687135e-06,1.3486067081936032e-05,3.13932918063966e-07,0.023278315031108273,0.02073255346367662,0.00016560000000000001,0.0070153966445241,0.0026496000000000002,9.210340371976184,0.0
23,1.44e-05,1,0.9202335569231275,0.023726013416369818,42.147830840812375,0.16738414558161666,2.41033169637528e-06,1.4058345406804273e-05,3.4165459319572536e-07,0.024302617648757137,0.02183347371775184,0.00018,0.0076254311353522826,0.00288,9.210340371976184,0.0
24,1.4999999999999999e-05,1,0.9282102012308147,0.024702287402953438,40.48208101896016,0.16932545373490437,2.539881806023565e-06,1.4629465688955697e-05,3.7053431104430156e-07,0.02532794559435148,0.02292891516115683,0.00019500000000000002,0.008260883729964974,0.0031200000000000004,9.210340371976184,0.0
25,1.56e-05,1,0.9353891811077333,0.025677585115550405,38.94447221185133,0.17131080121658804,2.6724484989787732e-06,1.5199429672197413e-05,4.0057032780258634e-07,0.02635429989424564,0.024018535314058814,0.00021060000000000002,0.008921754428362171,0.0033696000000000004,9.210340371976184,0.0
26,1.62e-05,1,0.94185026299696,0.026651907530434893,37.52076652892704,0.1733334117999442,2.8080012711590958e-06,1.5768239098006956e-05,4.3176090199304526e-07,0.0273816815758215,0.02510210611691076,0.00022680000000000004,0.009608043230543878,0.0036288000000000006,9.210340371976184,0.0
27,1.68e-05,1,0.9476652366972639,0.02762525562290441,36.198760063993355,0.17538732448366173,2.946507051325517e-06,1.6335895705535206e-05,4.64104294464794e-07,0.028410091667488934,0.02617949440870213,0.00024360000000000004,0.01031975013651009,0.0038976000000000006,9.210340371976184,0.0
28,1.74e-05,1,0.9528987130275375,0.02859763036728158,34.967932208260706,0.17746727624855582,3.0879306067248713e-06,1.69024012316093e-05,4.975987683906994e-07,0.029439531198687703,0.02725064517261984,0.00026100000000000006,0.011056875146260811,0.004176000000000001,9.210340371976184,0.0
29,1.7999999999999997e-05,1,0.9576088417247838,0.029569032736914247,33.819165100777575,0.17956860621717952,3.232234911909231e-06,1.746775741073554e-05,5.322425892644564e-07,0.030470001199887537,0.028315567190118664,0.00027900000000000006,0.01181941825979604,0.004464000000000001,9.210340371976184,0.0
30,1.8599999999999998e-05,1,0.9618479575523053,0.030539463704177372,32.744517378778134,0.18168717657113295,3.3793814842230724e-06,1.80319659751023e-05,5.68034024897699e-07,0.03150150270259017,0.029374320788605766,0.0002976000000000001,0.012607379477115778,0.004761600000000001,9.210340371976184,0.0
31,1.92e-05,1,0.9656631617970749,0.031508924240473246,31.737040349841553,0.1838193067048081,3.5293306887323152e-06,1.8595028654582912e-05,6.049713454170863e-07,0.03253403673932956,0.03042700740687989,0.00031680000000000006,0.01342075879822002,0.005068800000000001,9.210340371976184,0.0
32,1.9799999999999997e-05,1,0.9690968456173674,0.032477415316232716,30.790627587294008,0.18596171792295527,3.682042014874514e-06,1.915694717673859e-05,6.430528232614077e-07,0.03356760434367317,0.0314737607367663,0.00033660000000000005,0.01425955622310877,0.005385600000000001,9.210340371976184,0.0
33,2.0399999999999998e-05,1,0.9721871610556306,0.033444937900916516,29.899891067598492,0.18811148660637114,3.837474326769971e-06,1.97177232668213e-05,6.822767331786968e-07,0.034602206550223426,0.03251473922957389,0.00035700000000000006,0.015123771751782028,0.005712000000000001,9.210340371976184,0.0
34,2.1e-05,1,0.9749684449500675,0.0344114929630156,29.060058541335852,0.1902660042334708,3.995586088902886e-06,2.027735864777667e-05,7.226413522233276e-07,0.03563784439461805,0.03355011978256151,0.0003780000000000001,0.016013405384239798,0.006048000000000001,9.210340371976184,0.0
35,2.1599999999999996e-05,1,0.9774716004550608,0.035377081470052585,28.266888009021326,0.19242294299657134,4.15633556872594e-06,2.083585504024686e-05,7.641449597531357e-07,0.03667451891353157,0.034580092443961374,0.00039960000000000006,0.01692845712048207,0.006393600000000001,9.210340371976184,0.0
36,2.2199999999999998e-05,1,0.9797244404095548,0.03634170438858253,27.51659606570819,0.1945802260196432,4.319681017636079e-06,2.1393214162573465e-05,8.06785837426532e-07,0.03771223114467625,0.035604855995633476,0.00042180000000000006,0.01786892696050885,0.006748800000000001,9.210340371976184,0.0
37,2.28e-05,1,0.9817519963685992,0.03730536268419393,26.80579755960111,0.1967360013902123,4.48558083169684e-06,2.1949437730800377e-05,8.505622691996216e-07,0.03875098212680304,0.036624614290462036,0.0004446000000000001,0.01883481490432014,0.007113600000000001,9.210340371976184,0.0
38,2.3399999999999996e-05,1,0.9835767967317394,0.03826805732150973,26.13145453395983,0.19888861937737118,4.653993693430485e-06,2.2504527458676667e-05,8.954725413233276e-07,0.03979077289970274,0.03763957323743713,0.00046800000000000005,0.019826120951915938,0.007488000000000001,9.210340371976184,0.0
39,2.3999999999999997e-05,1,0.9852191170585654,0.039229789264188186,25.490832827717302,0.20103661233178466,4.824878695962831e-06,2.305848505765948e-05,9.415149423405163e-07,0.0408316045042069,0.03864993834125707,0.000492,0.02084284510329624,0.007872,9.210340371976184,0.0
40,2.4599999999999998e-05,1,0.9866972053527089,0.040190559474924004,24.881465027226792,0.2031786768605275,4.998195450768976e-06,2.361131223691687e-05,9.886877630831305e-07,0.0418734779821891,0.03965591271546935,0.0005166,0.02188498735846105,0.0082656,9.210340371976184,0.0
41,2.5199999999999996e-05,1,0.988027484817438,0.0411503689154491,24.301118710616702,0.20531365794582984,5.173904180234911e-06,2.416301070333068e-05,1.036989296669317e-06,0.04291639437656568,0.04065769549884086,0.0005417999999999999,0.022952547717410367,0.008668799999999999,9.210340371976184,0.0
42,2.5799999999999997e-05,1,0.9892247363356942,0.04210921854653371,23.74776912316547,0.20744053473705054,5.351965796215903e-06,2.4713582161499426e-05,1.0864178385005696e-06,0.043960354731297044,0.04165548061399693,0.0005675999999999999,0.024045526180144192,0.009081599999999999,9.210340371976184,0.0
43,2.6399999999999998e-05,1,0.9903022627021247,0.043067109327987074,23.219575578761958,0.20955840779302112,5.532341965735757e-06,2.5263028313741138e-05,1.1369716862588586e-06,0.04500536009138832,0.042649455815545384,0.0005939999999999999,0.02516392274666253,0.009503999999999999,9.210340371976184,0.0
44,2.6999999999999996e-05,1,0.9912720364319123,0.04402404221865919,22.714861007837193,0.21166648759004686,5.714995164931265e-06,2.58113508600962e-05,1.188649139903798e-06,0.04605141150289132,0.04363980198205478,0.0006209999999999999,0.02630773741696537,0.009935999999999999,9.210340371976184,0.0
45,2.7599999999999997e-05,1,0.992144832788721,0.044980018176440484,22.23209417295828,0.21376408414138984,5.899888722302359e-06,2.635855149833024e-05,1.2414485016697572e-06,0.047098510012904174,0.04462669261249817,0.0006485999999999999,0.027476970191052722,0.010377599999999999,9.210340371976184,0.0
46,2.8199999999999994e-05,1,0.9929303495098489,0.04593503815826405,21.769874154770733,0.21585059759866496,6.0869868522823505e-06,2.6904631923936947e-05,1.295368076063046e-06,0.04814665666957377,0.045610293493233374,0.0006768,0.02867162106892458,0.0108288,9.210340371976184,0.0
47,2.88e-05,1,0.9936373145588641,0.046889103120105746,21.32691677719906,0.2179255097254301,6.276254680092386e-06,2.7449593830140952e-05,1.3504061698590454e-06,0.049195852522095816,0.04659076250633553,0.0007056,0.029891690050580948,0.0112896,9.210340371976184,0.0
48,2.94e-05,1,0.9942735831029776,0.04784221401698563,20.902042694867042,0.21998837614941913,6.467658258792923e-06,2.7993438907900622e-05,1.4065610920993774e-06,0.05024609862071651,0.0475682495542478,0.000735,0.031137177136021817,0.01176,9.210340371976184,0.0
49,2.9999999999999997e-05,1,0.9948462247926799,0.04879437180296864,20.494166910027936,0.22203881931303623,6.661164579391086e-06,2.853616884591094e-05,1.463831154089059e-06,0.05129739601673324,0.048542896579313745,0.000765,0.032408082325247195,0.01224,9.210340371976184,0.0
50,3.06e-05,1,0.9953616023134119,0.0497455774311657,20.102289522796816,0.22407652205256523,6.856741574808496e-06,2.9077785330606328e-05,1.5222146693936704e-06,0.05234974576249577,0.04951483765989099,0.0007955999999999999,0.033704405618257084,0.012729599999999999,9.210340371976184,0.0
51,3.12e-05,1,0.9958254420820707,0.05069583185373461,19.725487548663885,0.22610122174548072,7.054358118458998e-06,2.961829004616348e-05,1.5817099538365198e-06,0.05340314891140727,0.050484199167463585,0.0008267999999999999,0.03502614701505148,0.013228799999999999,9.210340371976184,0.0
52,3.1799999999999994e-05,1,0.9962428978738637,0.05164513602188081,19.362907662327075,0.22811270497267955,7.2539840181312085e-06,3.0157684674504185e-05,1.6423153254958094e-06,0.05445760651792511,0.0514510999715284,0.0008585999999999999,0.03637330651563039,0.013737599999999999,9.210340371976184,0.0
53,3.24e-05,1,0.9966186080864773,0.05259349088585896,19.01375974776518,0.23011080264866873,7.455590005816867e-06,3.069597089529817e-05,1.7040291047018306e-06,0.055513119637562724,0.05241565168107359,0.000891,0.0377458841199938,0.014256,9.210340371976184,0.0
54,3.2999999999999996e-05,1,0.9969567472778296,0.05354089739497314,18.677311151939865,0.2320953855779739,7.659147724073138e-06,3.1233150385965885e-05,1.7668496140341134e-06,0.05656968932688964,0.05337795891322844,0.000924,0.039143879828141714,0.014784,9.210340371976184,0.0
55,3.36e-05,1,0.9972610725500466,0.05448735649757808,18.3528815541721,0.2340663604004863,7.86462970945634e-06,3.176922482168137e-05,1.8307751783186232e-06,0.05762731664353308,0.05433811958119146,0.0009576,0.040567293640074144,0.0153216,9.210340371976184,0.0
56,3.419999999999999e-05,1,0.9975349652950419,0.05543286914108059,18.03983837558415,0.23602366589225937,8.072009373515268e-06,3.230419587537504e-05,1.8958041246249556e-06,0.058686002646179354,0.05529622519485242,0.0009918,0.042016125555791074,0.0158688,9.210340371976184,0.0
57,3.48e-05,1,0.9977814687655377,0.056377436271939474,17.73759266342741,0.23796726959153797,8.28126098178552e-06,3.2838065217736505e-05,1.9619347822634937e-06,0.059745748394573896,0.056252361168651274,0.0010266,0.04349037557529251,0.0164256,9.210340371976184,0.0
58,3.539999999999999e-05,1,0.998003321888984,0.057321058835667515,17.445595393952473,0.2398971647226601,8.492359631182165e-06,3.337083451721736e-05,2.0291654827826296e-06,0.060806554949523396,0.05720660713219008,0.001062,0.044990043698578466,0.016992,9.210340371976184,0.0
59,3.5999999999999994e-05,1,0.9982029897000856,0.0582637377768318,17.163334144992728,0.2418133673929421,8.705281226145914e-06,3.390250544003405e-05,2.0974945599659446e-06,0.061868423372896234,0.058159037239935325,0.001098,0.04651512992564892,0.017568,9.210340371976184,0.0
60,3.6599999999999995e-05,1,0.998382690730077,0.05920547403905507,16.8903300958345,0.24371591403986742,8.920002453859147e-06,3.443307965017058e-05,2.1669203498294155e-06,0.06293135472762398,0.05910972047706153,0.0011346,0.048065634256503884,0.0181536,9.210340371976184,0.0
61,3.7199999999999996e-05,1,0.9985444216570694,0.060146268565015926,16.626135317422666,0.2456048591078356,9.136500758811484e-06,3.4962558809381406e-05,2.237441190618592e-06,0.06399535007770157,0.0600587209590846,0.0011718,0.049641556691143354,0.0187488,9.210340371976184,0.0
62,3.779999999999999e-05,1,0.9986899794913624,0.06108612229645094,16.370330320641408,0.24748027293548022,9.35475431696115e-06,3.5490944577194145e-05,2.309055422805845e-06,0.06506041048818981,0.06100609822344944,0.0012096,0.05124289722956733,0.0193536,9.210340371976184,0.0
63,3.84e-05,1,0.9988209815422261,0.06202503617415456,16.12252183444423,0.24934223983611403,9.574742009706779e-06,3.601823861091246e-05,2.3817613890875347e-06,0.06612653702521509,0.06195190751166114,0.001248,0.05286965587177583,0.019968,9.210340371976184,0.0
64,3.9e-05,1,0.9989388833880035,0.06296301113798031,15.882340789079317,0.2511908563552886,9.796443397856255e-06,3.654444256561877e-05,2.455557434381232e-06,0.06719373075597095,0.06289620004092047,0.001287,0.054521832617768815,0.020592,9.210340371976184,0.0
65,3.9599999999999994e-05,1,0.9990449950492032,0.06390004812684236,15.64944048265798,0.25302622969073185,1.0019838695752979e-05,3.706955809417704e-05,2.530441905822957e-06,0.0682619927487197,0.06383902326452506,0.0013266,0.056199427467546324,0.0212256,9.210340371976184,0.0
66,4.02e-05,1,0.9991404955442829,0.06483614807871552,15.423494911911355,0.2548484762610957,1.0244908745696047e-05,3.759358684723564e-05,2.606413152764364e-06,0.0693313240727925,0.06478042112055032,0.0013668,0.057902440421108335,0.0218688,9.210340371976184,0.0
67,4.0799999999999996e-05,1,0.9992264459898546,0.06577131193063679,15.204197250232928,0.25665772041102547,1.0471634992769837e-05,3.811653047323001e-05,2.6834695267699805e-06,0.07040172579859108,0.06572043426854032,0.0014076,0.05963087147845485,0.0225216,9.210340371976184,0.0
68,4.14e-05,1,0.9993038013908692,0.06670554061870615,14.991258458065346,0.25845409324103996,1.0699999460179053e-05,3.863839061838556e-05,2.7616093816144343e-06,0.07147319899758867,0.06665910031410609,0.001449,0.061384720639585874,0.023184,9.210340371976184,0.0
69,4.2e-05,1,0.9993734212517822,0.06763883507808743,14.784406012396927,0.26023773155161695,1.0929984725167912e-05,3.9159168926720325e-05,2.840831073279672e-06,0.07254574474233098,0.0675964540214733,0.001491,0.06316398790450141,0.023856,9.210340371976184,0.0
70,4.26e-05,1,0.9994360791266039,0.06857119624300934,14.583382743624624,0.2620087768917143,1.116157389558703e-05,3.96788670400478e-05,2.9211329599521977e-06,0.07361936410643742,0.06853252751413416,0.0015336,0.06496867327320144,0.0245376,9.210340371976184,0.0
71,4.319999999999999e-05,1,0.9994924712139436,0.06950262504676641,14.387945769345079,0.26376737470272654,1.1394750587157785e-05,4.0197486597979685e-05,3.0025134020203082e-06,0.0746940581646021,0.06946735046384869,0.0015768,0.06679877674568599,0.0252288,9.210340371976184,0.0
72,4.38e-05,1,0.9995432240925493,0.07043312242171962,14.197865515779373,0.2655136735495864,1.1629498901471884e-05,4.071502923792868e-05,3.0849707620713195e-06,0.07576982799259468,0.07040095026831085,0.0016206,0.06865429832195505,0.0259296,9.210340371976184,0.0
73,4.4399999999999995e-05,1,0.9995889016832943,0.0713626892992979,14.012924818541535,0.2672478244313836,1.186580340475343e-05,4.123149659511117e-05,3.1685034048888263e-06,0.07684667466726194,0.07133335221785136,0.001665,0.07053523800200862,0.02664,9.210340371976184,0.0
74,4.4999999999999996e-05,1,0.9996300115149649,0.0722913266099986,13.83291809534576,0.26896998016447526,1.2103649107401385e-05,4.1746890302550056e-05,3.2531096974499364e-06,0.07792459926652846,0.07226457965158499,0.00171,0.07244159578584668,0.02736,9.210340371976184,0.0
75,4.56e-05,1,0.9996670103634684,0.07321903528338858,13.657650584026104,0.2706802948316334,1.2343021444322484e-05,4.226121199107748e-05,3.338788008922519e-06,0.07900360286939784,0.07319465410344236,0.0017556,0.07437337167346926,0.0280896,9.210340371976184,0.0
76,4.62e-05,1,0.9997003093271215,0.07414581624810523,13.486937639931297,0.27237892329129354,1.2583906256057761e-05,4.277446328933754e-05,3.4255367106624615e-06,0.08008368655595384,0.07412359543854272,0.0018017999999999999,0.07633056566487634,0.028828799999999998,9.210340371976184,0.0
77,4.679999999999999e-05,1,0.9997302783944094,0.07507167043185714,13.32060408736614,0.27406602074144915,1.2826289770699818e-05,4.328664582378908e-05,3.5133541762109136e-06,0.08116485140736122,0.07505142198037389,0.0018486,0.07831317776006794,0.0295776,9.210340371976184,0.0
78,4.74e-05,1,0.9997572505549684,0.07599659876142528,13.158483620290449,0.27574174233319076,1.3070158586593243e-05,4.379776121870844e-05,3.6022387812915584e-06,0.08224709850586709,0.07597815062925166,0.001896,0.08032120795904403,0.030336,9.210340371976184,0.0
79,4.7999999999999994e-05,1,0.9997815254994716,0.07692060216266383,13.000418247965639,0.2774062428292944,1.3315499655806129e-05,4.430781109619213e-05,3.6921889038078637e-06,0.08333042893480186,0.076903796972526,0.001944,0.08235465626180465,0.031104,9.210340371976184,0.0
80,4.8599999999999995e-05,1,0.9998033729495245,0.07784368156050114,12.846257781664486,0.2790596763036517,1.356230026835747e-05,4.481679707615964e-05,3.783202923840355e-06,0.08441484377858041,0.07782837538699774,0.0019926,0.08441352266834977,0.0318816,9.210340371976184,0.0
81,4.9199999999999997e-05,1,0.999823035654572,0.07876583787894065,12.695859358938739,0.28070219587768525,1.3810548037182113e-05,4.5324720776356116e-05,3.875279223643879e-06,0.08550034412270312,0.07875189913399831,0.0020418000000000003,0.0864978071786794,0.032668800000000005,9.210340371976184,0.0
82,4.98e-05,1,0.9998407320891148,0.07968707204106174,12.549087002277016,0.2823339534902198,1.4060230883812944e-05,4.5831583812355124e-05,3.9684161876448745e-06,0.08658693105375691,0.0796743804475732,0.0020916000000000003,0.08860750979279354,0.033465600000000005,9.210340371976184,0.0
83,5.039999999999999e-05,1,0.9998566588802034,0.08060738496902065,12.405811209287139,0.2839550996975802,1.431133702475804e-05,4.633738779756135e-05,4.06261220243864e-06,0.0876746056594163,0.08059583061619531,0.0021420000000000002,0.09074263051069217,0.034272000000000004,9.210340371976184,0.0
84,5.1e-05,1,0.999870992992183,0.08152677758405169,12.265908571806724,0.2855657835009679,1.4563854958549362e-05,4.684213434321336e-05,4.1578656567866365e-06,0.08876336902844482,0.08151626005841861,0.002193,0.09290316933237532,0.035088,9.210340371976184,0.0
85,5.1599999999999994e-05,1,0.9998838936929647,0.08244525080646758,12.129261421587586,0.28716615219841646,1.4817773453438287e-05,4.7345825058386264e-05,4.2541749416137265e-06,0.08985322225069545,0.08243567839286385,0.0022446000000000002,0.09508912625784297,0.035913600000000004,9.210340371976184,0.0
86,5.2199999999999995e-05,1,0.9998955043236682,0.08336280555566111,11.995757500415491,0.2887563512588746,1.5073081535713253e-05,4.7848461549994486e-05,4.35153845000551e-06,0.09094416641711256,0.08335409450291366,0.0022968000000000003,0.09730050128709514,0.036748800000000005,9.210340371976184,0.0
87,5.2799999999999996e-05,1,0.9999059538913014,0.08427944275010546,11.86528965272197,0.290336524216168,1.532976847861367e-05,4.835004542279443e-05,4.449954577205568e-06,0.09203620261973229,0.08427151659647153,0.0023496000000000003,0.0995372944201318,0.037593600000000005,9.210340371976184,0.0
88,5.34e-05,1,0.9999153585021713,0.08519516330735533,11.73775553891878,0.291906812580802,1.5587823791814825e-05,4.885057827938722e-05,4.549421720612774e-06,0.09312933195168395,0.08518795226112523,0.002403,0.10179950565695298,0.038448,9.210340371976184,0.0
89,5.399999999999999e-05,1,0.9999238226519541,0.08610996814404803,11.61305736784343,0.293467355767746,1.5847237211458283e-05,4.9350061720221395e-05,4.649938279778593e-06,0.09422355550719122,0.08610340851503451,0.002457,0.10408713499755866,0.039312,9.210340371976184,0.0
90,5.46e-05,1,0.9999314403867587,0.08702385817590397,11.491101646845738,0.2950182910385066,1.610799869070246e-05,4.984849734359564e-05,4.751502656404356e-06,0.09531887438157276,0.08701789185384466,0.0025116,0.10640018244194885,0.0401856,9.210340371976184,0.0
91,5.519999999999999e-05,1,0.9999382963480828,0.08793683431772803,11.371798948172966,0.29655975345595703,1.6370098390768827e-05,5.034588674566141e-05,4.854113254338587e-06,0.09641528967124396,0.08793140829391259,0.0025668,0.10873864799012355,0.0410688,9.210340371976184,0.0
92,5.5799999999999994e-05,1,0.9999444667132745,0.0888488974834103,11.255063690426978,0.29809187585052555,1.6633526672459325e-05,5.08422315204257e-05,4.957768479574294e-06,0.09751280247371769,0.08884396341211111,0.0026226,0.11110253164208275,0.0419616,9.210340371976184,0.0
93,5.639999999999999e-05,1,0.9999500200419471,0.0897600485859269,11.140813933970907,0.2996147887964791,1.6898274088121418e-05,5.133753325975371e-05,5.062466740246276e-06,0.0986114138876053,0.08975556238246375,0.002679,0.11349183339782647,0.042864,9.210340371976184,0.0
94,5.6999999999999996e-05,1,0.9999550180377524,0.09067028853734094,11.028971189257526,0.3011286205971567,1.716433137403793e-05,5.1831793553371566e-05,5.168206446628433e-06,0.09971112501261786,0.09066621000984497,0.002736,0.1159065532573547,0.043776,9.210340371976184,0.0
95,5.76e-05,1,0.9999595162339772,0.09157961824880367,10.919460237137026,0.3026334972781144,1.743168944321939e-05,5.2325013988868906e-05,5.2749860111310916e-06,0.10081193694956754,0.09157591076096602,0.0027936000000000002,0.11834669122066743,0.044697600000000004,9.210340371976184,0.0
96,5.819999999999999e-05,1,0.9999635646105794,0.09248803863055488,10.81220896027991,0.30412954258724245,1.7700339378577507e-05,5.28171961517017e-05,5.382803848298294e-06,0.10191385080036792,0.09248466879285064,0.0028518000000000003,0.12081224728776467,0.045628800000000004,9.210340371976184,0.0
97,5.88e-05,1,0.9999672081495214,0.09339555059192428,10.707148184920792,0.30561687800101034,1.7970272426459408e-05,5.3308341625194854e-05,5.4916583748051474e-06,0.10301686766803589,0.09339248797899391,0.0029106,0.12330322145864642,0.0465696,9.210340371976184,0.0
98,5.9399999999999994e-05,1,0.9999704873345694,0.09430215504133233,10.604211532193546,0.30709562273607066,1.8241479990522596e-05,5.3798451990544854e-05,5.601548009455139e-06,0.10412098865669255,0.0942993719333812,0.00297,0.12581961373331266,0.04752,9.210340371976184,0.0
99,5.9999999999999995e-05,1,0.9999734386011124,0.09520785288629108,10.503335278386363,0.3085658937655349,1.8513953625932094e-05,5.428752882682253e-05,5.712471173177464e-06,0.10522621487156421,0.09520532403253333,0.00303,0.12836142411176343,0.04848,9.210340371976184,0.0
